Dataset Name,Dataset Link,Number Of Records,Number Of Columns,Number Of Date/Time Colums,Number of Textual Columns,Number of Numeric Columns,Total Number of highly dependent columns,LSTM Layers,Bidirectional,Return Sequence=True,Dense Layers,Dropout,Epochs,Batch Size,Note
Time Series starter dataset,Here,96,5,1,0,4,2,[50],0,0,[4],0,50,32,
DJIA 30 Stock Time Series,Here,3020,7,1,1,5,4,"[50,50,50,50]",0,1,[1],0.2,50,32,
Microsoft Stock- Time Series Analysis,Here,1511,6,1,0,5,4,"[50,50,50,50]",0,1,[1],0.2,10,32,
Time Series Practice Dataset,Here,230090,4,0,0,3,0,"[50,64]",0,0,"[32,16,1]",0,100,32,
Population Time Series Data,Here,816,4,3,0,1,0,[4],0,0,[1],0,100,1,
StackOverflow Questions Count Time Series,Here,132,82,1,0,81,61,"[64,32]",0,1,"[32,10,1]",0,250,32,
Time Series Price Vegetables and Fruits,Here,197161,7,1,2,4,3,"[32,32]",0,1,[1],0,100,32,
Digital currency - Time series,Here,1000,10,1,0,9,8,"[50,64]",0,0,"[32,16,1]",0,100,32,
Netflix Stock Price Prediction,Here,1009,7,1,0,6,5,"[50,50,50,50]",0,0,[1],0,100,54,
Web Traffic Time Series Forecasting,Here,145063,18,0,0,18,14,[8],0,0,[1],0,100,10,
Air Pollution Forecasting - LSTM Multivariate,Here,43800,9,1,1,7,3,"[64,32,16]",0,1,[1],0.2,30,32,
London bike sharing dataset,Here,17414,10,1,0,9,2,[128],1,0,[1],0.2,30,32,
Temperature Time-Series for some Brazilian cities,Here,59,18,1,0,17,17,"[128,64]",0,1,"[25,1]",0,5,1,
Water Pump RUL - Predictive Maintenance,Here,14085,53,1,0,52,20,"[256,8,64]",0,1,[1],0,100,200,
DataSet(Traffic flow),Here,26496,2,1,0,1,0,[35],0,0,[35],0,10,32,
Electricity Day Ahead Prices,Here,8761,8,2,0,6,4,"[50,50,50]",0,1,[1],0,60,64,
NSE-TATAGLOBAL,Here,2035,8,1,0,7,7,"[50,50,50,50]",0,1,[1],0.2,100,32,
Google Stock (2010-2023),Here,3272,7,1,0,6,5,"[300,100,100,100]",0,1,[1],0.2,30,32,
Apple Stock Price Prediction using LSTM,Here,8042,7,1,0,6,5,"[50,50]",0,1,[2],0.1,80,32,
Tibau Wind Speed,Here,10680,3,1,0,2,0,[50],1,0,[1],0,200,32,
2chan-10dbnoise,Here,870354,4,2,0,2,4,[64],0,1,[11],0,3,32,
Diamond Prices,Here,1134,6,1,0,5,3,"[200,200]",0,1,"[100,1]",0,50,16,
Panama Electricity Load Forecasting,Here,43775,17,1,0,16,8,"[64,32]",1,0,"[64,8,1]",0.2,5,200,
Tesla Stock Price,Here,2274,7,1,0,6,5,"[100,100]",0,0,"[50,1]",0.25,100,64,
AF_TimeSeries_Example,Here,144,2,1,0,1,0,"[32,32]",1,1,[1],0.2,500,32,
US Air Quality 1980-Present,Here,747415,15,1,6,8,0,"[150,150,150]",1,1,"[512,64,7]",0.3,1000,4096,
Traffic Prediction Dataset,Here,48120,4,1,0,3,0,"[150,150,50,50,50]",0,1,[1],0.2,50,120,
Tabular Playground Series - Apr 2022,Here,326351,16,0,0,16,0,"[512,384,384,256,256]",1,1,"[128,1]",0.05,5,128,
Daily Climate time series data,Here,1462,5,1,0,4,0,[64],0,0,[1],0,50,32,
(for simple exercises) Time Series Forecasting,Here,588,2,1,0,1,0,"[50,100]",0,1,[1],0.2,50,64,
